MT;Status;Tag;Field_Name;Content_Options;KeyMTTag
101;M;20;Sender's Reference;16x;101#20
101;M;21;Transaction Reference;16x;101#21
101;O;21F;F/X Deal Reference;16x;101#21F
101;O;21R;Customer Specified Reference;16x;101#21R
101;O;23E;Instruction Code;4!c[/30x];101#23E
101;O;25;Authorisation;35x;101#25
101;O;25A;Charges Account;/34x;101#25A
101;M;28D;Message Index/Total;5n/5n;101#28D
101;M;30;Requested Execution Date;6!n;101#30
101;M;32B;Currency/Transaction Amount;3!a15d;101#32B
101;O;33B;Currency/Original Ordered Amount;3!a15d;101#33B
101;O;36;Exchange Rate;12d;101#36
101;O;50A;Instructing Party;C or L;101#50A
101;O;50C;Instructing Party;C or L;101#50C
101;O;50L;Instructing Party;C or L;101#50L
101;O;51A;Sending Institution;[/1!a][/34x];101#51A
101;O;52A;Account Servicing Institution;A or C;101#52A
101;O;52C;Account Servicing Institution;A or C;101#52C
101;O;56A;Intermediary;A, C, or D;101#56A
101;O;56C;Intermediary;A, C, or D;101#56C
101;O;56D;Intermediary;A, C, or D;101#56D
101;O;57A;Account With Institution;A, C, or D;101#57A
101;O;57C;Account With Institution;A, C, or D;101#57C
101;O;57D;Account With Institution;A, C, or D;101#57D
101;M;59;Beneficiary;No letter option, A, or F;101#59
101;M;59A;Beneficiary;No letter option, A, or F;101#59A
101;M;59F;Beneficiary;No letter option, A, or F;101#59F
101;O;70;Remittance Information;4*35x;101#70
101;M;71A;Details of Charges;3!a;101#71A
101;O;77B;Regulatory Reporting;3*35x;101#77B
102;O;13C;Time Indication;/8c/4!n1!x4!n;102#13C
102;O;19;Sum of Amounts;17d;102#19
102;M;20;File Reference;16x;102#20
102;M;21;Transaction Reference;16x;102#21
102;M;23;Bank Operation Code;16x;102#23
102;O;26T;Transaction Type Code;3!c;102#26T
102;M;32A;Value Date, Currency Code, Amount;6!n3!a15d;102#32A
102;M;32B;Transaction Amount;3!a15d;102#32B
102;O;33B;Currency/Instructed Amount;3!a15d;102#33B
102;O;36;Exchange Rate;12d;102#36
102;O;50A;Ordering Customer;A, F, or K;102#50A
102;O;50F;Ordering Customer;A, F, or K;102#50F
102;O;50K;Ordering Customer;A, F, or K;102#50K
102;O;51A;Sending Institution;[/1!a][/34x];102#51A
102;O;52A;Ordering Institution;A, B, or C;102#52A
102;O;52B;Ordering Institution;A, B, or C;102#52B
102;O;52C;Ordering Institution;A, B, or C;102#52C
102;O;53A;Sender's Correspondent;A or C;102#53A
